test_batch,output,configuration,features,learned_kernel
653,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.74**2 * RBF(length_scale=[1.13, 1.78, 20, 2.37, 20, 5.86]) + WhiteKernel(noise_level=5.68e-05)"
653,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.12**2 * RBF(length_scale=[0.917, 6.1, 18.7, 3.64, 11.9, 4.84]) + WhiteKernel(noise_level=0.0001)"
653,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.75**2 * RBF(length_scale=[1.13, 1.79, 20, 2.46, 20, 5.85, 20]) + WhiteKernel(noise_level=5.68e-05)"
653,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.55**2 * RBF(length_scale=[0.891, 8.57, 20, 3.02, 7.14, 4.14, 20]) + WhiteKernel(noise_level=0.000106)"
748,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.1**2 * RBF(length_scale=[0.838, 1.14, 20, 1.61, 20, 2.48]) + WhiteKernel(noise_level=0.000137)"
748,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.33**2 * RBF(length_scale=[0.75, 2.84, 5.13, 1.85, 7.16, 4.04]) + WhiteKernel(noise_level=0.000314)"
748,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.08**2 * RBF(length_scale=[0.85, 3.33, 20, 2.22, 2.81, 1.98, 1.91]) + WhiteKernel(noise_level=0.000135)"
748,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.32**2 * RBF(length_scale=[0.75, 2.88, 5.1, 1.84, 7.17, 3.99, 20]) + WhiteKernel(noise_level=0.000315)"
788,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.906, 1.2, 20, 1.99, 20, 3.59]) + WhiteKernel(noise_level=7.83e-05)"
788,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.36**2 * RBF(length_scale=[0.74, 20, 20, 1.04, 5.04, 5.14]) + WhiteKernel(noise_level=0.000333)"
