test_batch,output,observed_anchor_count,learned_kernel
232,Cb,3,"1.54**2 * RBF(length_scale=[0.838, 20, 5.31, 1.8, 20, 4.74]) + WhiteKernel(noise_level=0.00016)"
232,T,3,"2.01**2 * RBF(length_scale=[0.743, 5.31, 11.7, 2.34, 20, 4.4]) + WhiteKernel(noise_level=0.000641)"
232,Cb,4,"1.54**2 * RBF(length_scale=[0.841, 20, 5.35, 1.81, 20, 4.72]) + WhiteKernel(noise_level=0.000157)"
232,T,4,"1.99**2 * RBF(length_scale=[0.744, 5.17, 11.3, 2.36, 20, 4.3]) + WhiteKernel(noise_level=0.000638)"
232,Cb,5,"1.51**2 * RBF(length_scale=[0.843, 20, 5.29, 1.79, 20, 4.57]) + WhiteKernel(noise_level=0.000154)"
232,T,5,"1.94**2 * RBF(length_scale=[0.748, 5.01, 10.6, 2.27, 20, 4.1]) + WhiteKernel(noise_level=0.000649)"
232,Cb,6,"1.41**2 * RBF(length_scale=[0.843, 20, 5.02, 1.67, 20, 4.13]) + WhiteKernel(noise_level=0.000152)"
232,T,6,"2.19**2 * RBF(length_scale=[0.786, 7.08, 20, 1.65, 13.4, 5.59]) + WhiteKernel(noise_level=0.000665)"
232,Cb,7,"1.35**2 * RBF(length_scale=[0.846, 20, 4.84, 1.56, 20, 3.79]) + WhiteKernel(noise_level=0.000149)"
232,T,7,"2.63**2 * RBF(length_scale=[0.814, 10.1, 17.8, 1.72, 17, 6.15]) + WhiteKernel(noise_level=0.000688)"
232,Cb,8,"1.33**2 * RBF(length_scale=[0.853, 20, 4.71, 1.5, 20, 3.67]) + WhiteKernel(noise_level=0.000147)"
232,T,8,"2.19**2 * RBF(length_scale=[0.792, 7.28, 20, 1.6, 12.7, 5.64]) + WhiteKernel(noise_level=0.000641)"
232,Cb,9,"1.34**2 * RBF(length_scale=[0.857, 20, 4.65, 1.5, 20, 3.68]) + WhiteKernel(noise_level=0.000144)"
232,T,9,"2.21**2 * RBF(length_scale=[0.794, 7.33, 20, 1.62, 13, 5.69]) + WhiteKernel(noise_level=0.000638)"
232,Cb,10,"1.35**2 * RBF(length_scale=[0.86, 20, 4.66, 1.51, 20, 3.69]) + WhiteKernel(noise_level=0.000143)"
232,T,10,"2.28**2 * RBF(length_scale=[0.799, 7.74, 20, 1.65, 13.5, 5.84]) + WhiteKernel(noise_level=0.000649)"
232,Cb,11,"1.34**2 * RBF(length_scale=[0.861, 20, 4.64, 1.48, 20, 3.57]) + WhiteKernel(noise_level=0.000146)"
232,T,11,"2.27**2 * RBF(length_scale=[0.796, 8.17, 20, 1.59, 13.2, 5.88]) + WhiteKernel(noise_level=0.000644)"
232,Cb,12,"1.31**2 * RBF(length_scale=[0.859, 20, 4.61, 1.4, 20, 3.37]) + WhiteKernel(noise_level=0.000146)"
232,T,12,"2.29**2 * RBF(length_scale=[0.795, 8.45, 20, 1.58, 13.1, 5.94]) + WhiteKernel(noise_level=0.000634)"
234,Cb,3,"1.29**2 * RBF(length_scale=[0.824, 1.91, 20, 1.74, 20, 3.44]) + WhiteKernel(noise_level=0.000132)"
234,T,3,"2.21**2 * RBF(length_scale=[0.724, 20, 7.46, 1.98, 20, 3.74]) + WhiteKernel(noise_level=0.000644)"
234,Cb,4,"1.29**2 * RBF(length_scale=[0.826, 1.93, 20, 1.76, 20, 3.44]) + WhiteKernel(noise_level=0.00013)"
234,T,4,"2.22**2 * RBF(length_scale=[0.725, 20, 7.51, 1.99, 20, 3.75]) + WhiteKernel(noise_level=0.000638)"
234,Cb,5,"1.29**2 * RBF(length_scale=[0.829, 1.93, 20, 1.78, 20, 3.48]) + WhiteKernel(noise_level=0.000129)"
234,T,5,"2.25**2 * RBF(length_scale=[0.728, 20, 7.58, 2, 20, 3.85]) + WhiteKernel(noise_level=0.000633)"
234,Cb,6,"1.3**2 * RBF(length_scale=[0.832, 1.94, 20, 1.82, 20, 3.53]) + WhiteKernel(noise_level=0.000128)"
234,T,6,"2.23**2 * RBF(length_scale=[0.732, 20, 7.54, 2.01, 20, 3.7]) + WhiteKernel(noise_level=0.00064)"
