test_batch,output,configuration,features,learned_kernel
204,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.32**2 * RBF(length_scale=[0.715, 2.87, 7.04, 3.01, 2.71, 3.92]) + WhiteKernel(noise_level=0.000254)"
204,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.744**2 * RBF(length_scale=[1.3, 20, 20, 20, 1.84]) + WhiteKernel(noise_level=0.01)"
204,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.857**2 * RBF(length_scale=[0.529, 1.94, 20, 20, 20]) + WhiteKernel(noise_level=0.01)"
204,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.55**2 * RBF(length_scale=[0.953, 20, 1.13, 7.79, 2.43]) + WhiteKernel(noise_level=7.47e-05)"
204,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.44**2 * RBF(length_scale=[0.738, 20, 1.52, 2.51, 4.31]) + WhiteKernel(noise_level=0.000271)"
204,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","1.27**2 * RBF(length_scale=[0.888, 1.1, 20, 16.6, 2.67]) + WhiteKernel(noise_level=6.55e-05)"
204,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","1.47**2 * RBF(length_scale=[0.733, 7.31, 1.78, 2.77, 4.33]) + WhiteKernel(noise_level=0.00026)"
204,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","1.21**2 * RBF(length_scale=[0.88, 1.1, 20, 20, 2.61]) + WhiteKernel(noise_level=6.58e-05)"
204,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.39**2 * RBF(length_scale=[0.714, 2.16, 3.01, 3.65, 3.63]) + WhiteKernel(noise_level=0.000257)"
204,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.21**2 * RBF(length_scale=[0.88, 1.08, 20, 20, 2.46]) + WhiteKernel(noise_level=6.61e-05)"
204,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","1.63**2 * RBF(length_scale=[0.728, 2.04, 4.01, 3.2, 4.41]) + WhiteKernel(noise_level=0.00029)"
204,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.06**2 * RBF(length_scale=[0.894, 0.749, 20, 0.974, 6.15]) + WhiteKernel(noise_level=7.17e-05)"
204,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.37**2 * RBF(length_scale=[0.73, 3.15, 6.91, 2.38, 1.7]) + WhiteKernel(noise_level=0.000266)"
207,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.07**2 * RBF(length_scale=[0.867, 20, 11.7, 1.17, 20, 2.12]) + WhiteKernel(noise_level=8.76e-05)"
207,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.751, 6.02, 20, 2.22, 4.11, 5.28]) + WhiteKernel(noise_level=0.000428)"
207,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.765**2 * RBF(length_scale=[20, 20, 2.58, 2.69, 0.813]) + WhiteKernel(noise_level=0.01)"
207,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.09**2 * RBF(length_scale=[2.38, 3.09, 4.95, 1.46, 20]) + WhiteKernel(noise_level=0.01)"
207,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.13**2 * RBF(length_scale=[0.874, 12.5, 1.19, 17.3, 2.27]) + WhiteKernel(noise_level=8.74e-05)"
207,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.19**2 * RBF(length_scale=[0.751, 0.747, 1.41, 2.74, 2.87]) + WhiteKernel(noise_level=0.000465)"
207,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","0.999**2 * RBF(length_scale=[0.863, 20, 1.09, 7.72, 1.68]) + WhiteKernel(noise_level=8.73e-05)"
207,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","2.03**2 * RBF(length_scale=[0.76, 8.73, 2.29, 4.33, 5.25]) + WhiteKernel(noise_level=0.000427)"
207,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.911**2 * RBF(length_scale=[0.841, 0.683, 20, 20, 1.27]) + WhiteKernel(noise_level=8.8e-05)"
207,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.15**2 * RBF(length_scale=[0.736, 0.214, 3.48, 20, 2.34]) + WhiteKernel(noise_level=0.000464)"
207,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.08**2 * RBF(length_scale=[0.869, 20, 11, 1.16, 2.15]) + WhiteKernel(noise_level=8.77e-05)"
207,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","1.64**2 * RBF(length_scale=[0.762, 1.96, 5, 2.38, 4.14]) + WhiteKernel(noise_level=0.000491)"
207,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.04**2 * RBF(length_scale=[0.884, 9.37, 1.17, 0.578, 7.07]) + WhiteKernel(noise_level=9.23e-05)"
207,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.62**2 * RBF(length_scale=[0.774, 3.39, 7.48, 1.21, 2.93]) + WhiteKernel(noise_level=0.000466)"
229,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.796, 1.25, 20, 1.11, 20, 2.94]) + WhiteKernel(noise_level=0.000226)"
229,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.37**2 * RBF(length_scale=[0.74, 2.06, 6.49, 2.7, 20, 2.58]) + WhiteKernel(noise_level=0.000466)"
229,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.61**2 * RBF(length_scale=[0.968, 1.83, 0.754, 20, 1.34]) + WhiteKernel(noise_level=0.01)"
229,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.68**2 * RBF(length_scale=[0.825, 2.02, 2.49, 20, 20]) + WhiteKernel(noise_level=0.01)"
229,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.15**2 * RBF(length_scale=[0.813, 20, 0.593, 20, 2.3]) + WhiteKernel(noise_level=0.000222)"
229,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.56**2 * RBF(length_scale=[0.77, 6.05, 1.46, 20, 1.82]) + WhiteKernel(noise_level=0.000463)"
229,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","1.14**2 * RBF(length_scale=[0.801, 1.38, 1.1, 20, 3.04]) + WhiteKernel(noise_level=0.000225)"
229,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","1.32**2 * RBF(length_scale=[0.75, 1.96, 2.1, 5.74, 2.21]) + WhiteKernel(noise_level=0.000457)"
229,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.915**2 * RBF(length_scale=[0.774, 0.243, 20, 20, 2.66]) + WhiteKernel(noise_level=0.000229)"
229,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.14**2 * RBF(length_scale=[0.722, 1.25, 5.09, 14.9, 1.56]) + WhiteKernel(noise_level=0.000471)"
229,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.23**2 * RBF(length_scale=[0.802, 1.23, 20, 1.36, 3.42]) + WhiteKernel(noise_level=0.000224)"
229,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","1.41**2 * RBF(length_scale=[0.744, 2.1, 6.5, 2.75, 2.67]) + WhiteKernel(noise_level=0.000472)"
229,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.05**2 * RBF(length_scale=[0.798, 1.14, 4.06, 0.632, 20]) + WhiteKernel(noise_level=0.000234)"
229,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.93**2 * RBF(length_scale=[0.804, 3.97, 5.63, 1.46, 7.11]) + WhiteKernel(noise_level=0.000525)"
