test_batch,output,strategy,learned_kernel
830,T,same_both,"1.47**2 * RBF(length_scale=[0.357, 5.17, 18.1, 10.3, 20, 16.4]) + WhiteKernel(noise_level=4.46e-07)"
857,Cb,unrestricted,"1.15**2 * RBF(length_scale=[0.451, 3.07, 20, 8.18, 20, 7.51]) + WhiteKernel(noise_level=8.05e-08)"
857,T,unrestricted,"1.53**2 * RBF(length_scale=[0.41, 3.74, 20, 7.58, 20, 11.2]) + WhiteKernel(noise_level=5.21e-07)"
857,Cb,same_delta_frac_A,"1.15**2 * RBF(length_scale=[0.451, 3.07, 20, 8.18, 20, 7.51]) + WhiteKernel(noise_level=8.05e-08)"
857,T,same_delta_frac_A,"1.53**2 * RBF(length_scale=[0.41, 3.74, 20, 7.58, 20, 11.2]) + WhiteKernel(noise_level=5.21e-07)"
857,Cb,same_delta_Tc,"1.15**2 * RBF(length_scale=[0.451, 3.07, 20, 8.18, 20, 7.51]) + WhiteKernel(noise_level=8.05e-08)"
857,T,same_delta_Tc,"1.53**2 * RBF(length_scale=[0.41, 3.74, 20, 7.58, 20, 11.2]) + WhiteKernel(noise_level=5.21e-07)"
857,Cb,same_both,"1.15**2 * RBF(length_scale=[0.451, 3.07, 20, 8.18, 20, 7.51]) + WhiteKernel(noise_level=8.05e-08)"
857,T,same_both,"1.53**2 * RBF(length_scale=[0.41, 3.74, 20, 7.58, 20, 11.2]) + WhiteKernel(noise_level=5.21e-07)"
881,Cb,unrestricted,"1.79**2 * RBF(length_scale=[1.29, 5.15, 20, 14.3, 20, 10.9]) + WhiteKernel(noise_level=2.05e-05)"
881,T,unrestricted,"3.85**2 * RBF(length_scale=[0.853, 5.4, 20, 10.7, 20, 15.9]) + WhiteKernel(noise_level=6.59e-05)"
881,Cb,same_delta_frac_A,"1.75**2 * RBF(length_scale=[1.4, 5.71, 20, 13.5, 20, 9.69]) + WhiteKernel(noise_level=2.18e-05)"
881,T,same_delta_frac_A,"3.71**2 * RBF(length_scale=[0.49, 7.17, 20, 10.8, 20, 18.5]) + WhiteKernel(noise_level=1e-08)"
