test_batch,output,strategy,learned_kernel
257,Cb,initial_only,"2.81**2 * RBF(length_scale=[1.01, 2.07, 20, 3.59, 20, 13.3]) + WhiteKernel(noise_level=1.93e-05)"
257,T,initial_only,"1.73**2 * RBF(length_scale=[0.464, 2.69, 13, 4.53, 20, 20]) + WhiteKernel(noise_level=1e-08)"
257,Cb,disturbance_only,"1.93**2 * RBF(length_scale=[1.22, 1.96, 20, 16.1, 20, 8.7]) + WhiteKernel(noise_level=1.76e-05)"
257,T,disturbance_only,"2.22**2 * RBF(length_scale=[0.593, 3.68, 18.7, 5.68, 20, 7.16]) + WhiteKernel(noise_level=1.33e-06)"
314,Cb,full,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,full,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
314,Cb,without_delta_frac_A,"2.1**2 * RBF(length_scale=[0.52, 2.15, 20, 3.94, 20, 11.8]) + WhiteKernel(noise_level=1.95e-07)"
314,T,without_delta_frac_A,"2.18**2 * RBF(length_scale=[0.449, 2.57, 20, 4.33, 19.3, 20]) + WhiteKernel(noise_level=1.14e-07)"
314,Cb,without_delta_Tc,"4.33**2 * RBF(length_scale=[1.37, 4.69, 20, 20, 20, 13.1]) + WhiteKernel(noise_level=3.81e-05)"
314,T,without_delta_Tc,"3.8**2 * RBF(length_scale=[0.471, 6.47, 15.6, 16, 20, 20]) + WhiteKernel(noise_level=3.13e-08)"
314,Cb,initial_only,"2.35**2 * RBF(length_scale=[0.632, 1.72, 20, 5.31, 20, 13.1]) + WhiteKernel(noise_level=5.15e-06)"
314,T,initial_only,"2.96**2 * RBF(length_scale=[0.476, 2.77, 10.1, 4.47, 20, 20]) + WhiteKernel(noise_level=4.4e-07)"
314,Cb,disturbance_only,"2.84**2 * RBF(length_scale=[1.33, 5.45, 20, 20, 20, 8.22]) + WhiteKernel(noise_level=3.5e-05)"
314,T,disturbance_only,"2.5**2 * RBF(length_scale=[0.453, 6.82, 20, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,full,"3.2**2 * RBF(length_scale=[1.33, 3.77, 20, 20, 20, 11.2]) + WhiteKernel(noise_level=3.45e-05)"
332,T,full,"3.88**2 * RBF(length_scale=[0.462, 6.2, 17, 10.5, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,without_delta_frac_A,"2.12**2 * RBF(length_scale=[1.13, 2.04, 20, 4.6, 20, 9.48]) + WhiteKernel(noise_level=2.96e-05)"
332,T,without_delta_frac_A,"2.5**2 * RBF(length_scale=[0.511, 2.59, 15, 4.01, 20, 20]) + WhiteKernel(noise_level=3.06e-06)"
332,Cb,without_delta_Tc,"3.25**2 * RBF(length_scale=[1.26, 5.49, 20, 20, 20, 12.1]) + WhiteKernel(noise_level=4.01e-05)"
332,T,without_delta_Tc,"3.6**2 * RBF(length_scale=[0.467, 8.05, 16.4, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,initial_only,"2.51**2 * RBF(length_scale=[1.01, 1.96, 20, 4.19, 20, 14.6]) + WhiteKernel(noise_level=4.23e-05)"
332,T,initial_only,"2.86**2 * RBF(length_scale=[0.484, 2.94, 12.2, 3.85, 20, 20]) + WhiteKernel(noise_level=6.79e-08)"
332,Cb,disturbance_only,"2.79**2 * RBF(length_scale=[1.26, 5.63, 20, 20, 20, 10.1]) + WhiteKernel(noise_level=2.86e-05)"
332,T,disturbance_only,"4.24**2 * RBF(length_scale=[0.467, 9.56, 20, 19.9, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,full,"3.33**2 * RBF(length_scale=[1.27, 10.6, 20, 20, 20, 12.3]) + WhiteKernel(noise_level=3e-05)"
401,T,full,"2.98**2 * RBF(length_scale=[0.474, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
