test_batch,output,window_percent,learned_kernel
951,T,70,"2.13**2 * RBF(length_scale=[0.392, 7.66, 20, 13.5, 20, 19]) + WhiteKernel(noise_level=2.25e-07)"
951,Cb,100,"1.03**2 * RBF(length_scale=[0.402, 4.31, 20, 10.9, 20, 8.75]) + WhiteKernel(noise_level=2.01e-08)"
951,T,100,"1.48**2 * RBF(length_scale=[0.317, 6.18, 20, 13.8, 20, 10.8]) + WhiteKernel(noise_level=1.02e-07)"
974,Cb,50,"1.11**2 * RBF(length_scale=[0.441, 2.34, 20, 8.03, 20, 9.35]) + WhiteKernel(noise_level=1.53e-08)"
974,T,50,"2.05**2 * RBF(length_scale=[0.389, 3.4, 20, 8.21, 20, 20]) + WhiteKernel(noise_level=1.52e-07)"
974,Cb,70,"1.19**2 * RBF(length_scale=[0.446, 4.63, 20, 7.74, 20, 6.81]) + WhiteKernel(noise_level=6.62e-08)"
974,T,70,"2.08**2 * RBF(length_scale=[0.39, 5.63, 20, 7.94, 20, 16.8]) + WhiteKernel(noise_level=7.88e-07)"
974,Cb,100,"1.07**2 * RBF(length_scale=[0.418, 2.99, 20, 8.91, 20, 7.45]) + WhiteKernel(noise_level=3.21e-07)"
974,T,100,"1.59**2 * RBF(length_scale=[0.331, 3.43, 20, 7.75, 20, 14.6]) + WhiteKernel(noise_level=1.81e-06)"
987,Cb,50,"4.24**2 * RBF(length_scale=[0.515, 3.21, 20, 16.2, 20, 19.5]) + WhiteKernel(noise_level=1e-08)"
987,T,50,"4.32**2 * RBF(length_scale=[0.453, 3.84, 19.9, 10.7, 20, 20]) + WhiteKernel(noise_level=1e-08)"
987,Cb,70,"3.11**2 * RBF(length_scale=[0.968, 9.63, 20, 20, 20, 13.1]) + WhiteKernel(noise_level=2.44e-05)"
987,T,70,"3.53**2 * RBF(length_scale=[0.459, 13.1, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
987,Cb,100,"2.62**2 * RBF(length_scale=[1.29, 6.96, 20, 20, 20, 9.56]) + WhiteKernel(noise_level=4.51e-05)"
987,T,100,"2.6**2 * RBF(length_scale=[0.462, 9.95, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
990,Cb,50,"1.29**2 * RBF(length_scale=[0.48, 1.33, 20, 5.14, 20, 9.63]) + WhiteKernel(noise_level=5.31e-08)"
990,T,50,"1.83**2 * RBF(length_scale=[0.429, 1.97, 19.9, 5.19, 20, 20]) + WhiteKernel(noise_level=3.19e-07)"
990,Cb,70,"1.27**2 * RBF(length_scale=[0.42, 3.52, 20, 9.94, 20, 8.79]) + WhiteKernel(noise_level=1e-08)"
990,T,70,"2.44**2 * RBF(length_scale=[0.399, 4.91, 18.5, 10.3, 20, 20]) + WhiteKernel(noise_level=1.95e-07)"
990,Cb,100,"1.24**2 * RBF(length_scale=[0.368, 7.04, 20, 14, 20, 7.94]) + WhiteKernel(noise_level=2.21e-08)"
990,T,100,"1.9**2 * RBF(length_scale=[0.314, 7.85, 18.2, 13.3, 20, 13.1]) + WhiteKernel(noise_level=3.25e-07)"
