test_batch,output,strategy,learned_kernel
332,Cb,nearest_target,"2.4**2 * RBF(length_scale=[1.39, 7.23, 20, 11.7, 20, 6.25]) + WhiteKernel(noise_level=4.89e-05)"
332,T,nearest_target,"2.56**2 * RBF(length_scale=[0.477, 14.3, 20, 4.53, 18.6, 8.44]) + WhiteKernel(noise_level=9.67e-08)"
332,Cb,nearest_transition,"3.2**2 * RBF(length_scale=[1.33, 3.77, 20, 20, 20, 11.2]) + WhiteKernel(noise_level=3.45e-05)"
332,T,nearest_transition,"3.88**2 * RBF(length_scale=[0.462, 6.2, 17, 10.5, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,recent,"1.77**2 * RBF(length_scale=[0.515, 2.04, 20, 4.65, 20, 7.67]) + WhiteKernel(noise_level=8.17e-07)"
401,T,recent,"2.48**2 * RBF(length_scale=[0.469, 2.75, 13.4, 3.94, 20, 9.97]) + WhiteKernel(noise_level=2.23e-06)"
401,Cb,random,"1.71**2 * RBF(length_scale=[0.513, 2, 20, 3.71, 20, 9.1]) + WhiteKernel(noise_level=2.12e-07)"
401,T,random,"2.33**2 * RBF(length_scale=[0.472, 2.64, 15.9, 2.82, 20, 10.5]) + WhiteKernel(noise_level=1.12e-07)"
401,Cb,nearest_initial,"3.19**2 * RBF(length_scale=[1.23, 1.74, 20, 5.23, 20, 15.2]) + WhiteKernel(noise_level=2.61e-05)"
401,T,nearest_initial,"2.25**2 * RBF(length_scale=[0.511, 2.45, 16.3, 6.38, 20, 20]) + WhiteKernel(noise_level=1.2e-06)"
401,Cb,nearest_target,"2.36**2 * RBF(length_scale=[1.33, 11.3, 20, 11.9, 20, 7.44]) + WhiteKernel(noise_level=3.83e-05)"
401,T,nearest_target,"2.83**2 * RBF(length_scale=[0.457, 19.2, 20, 5.06, 18.1, 14.2]) + WhiteKernel(noise_level=1e-08)"
401,Cb,nearest_transition,"3.33**2 * RBF(length_scale=[1.27, 10.6, 20, 20, 20, 12.3]) + WhiteKernel(noise_level=3e-05)"
401,T,nearest_transition,"2.98**2 * RBF(length_scale=[0.474, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
424,Cb,recent,"1.73**2 * RBF(length_scale=[0.509, 1.81, 20, 3.33, 20, 8.06]) + WhiteKernel(noise_level=3.05e-06)"
424,T,recent,"2.32**2 * RBF(length_scale=[0.462, 2.5, 14.9, 2.29, 20, 10.1]) + WhiteKernel(noise_level=1.04e-05)"
424,Cb,random,"1.93**2 * RBF(length_scale=[0.531, 1.76, 20, 3.75, 20, 9.81]) + WhiteKernel(noise_level=3.67e-06)"
424,T,random,"2.3**2 * RBF(length_scale=[0.47, 2.05, 10.4, 3.22, 19.9, 8.95]) + WhiteKernel(noise_level=7.25e-06)"
424,Cb,nearest_initial,"2.72**2 * RBF(length_scale=[1.04, 1.94, 20, 4.3, 20, 14.1]) + WhiteKernel(noise_level=3.18e-05)"
424,T,nearest_initial,"2.4**2 * RBF(length_scale=[0.488, 2.84, 16, 4.68, 20, 20]) + WhiteKernel(noise_level=2.17e-07)"
424,Cb,nearest_target,"1.31**2 * RBF(length_scale=[0.471, 5.36, 20, 3.89, 20, 6.93]) + WhiteKernel(noise_level=6.82e-07)"
424,T,nearest_target,"1.78**2 * RBF(length_scale=[0.434, 6.57, 20, 2.6, 20, 7.84]) + WhiteKernel(noise_level=1.36e-05)"
424,Cb,nearest_transition,"1.36**2 * RBF(length_scale=[0.553, 3.11, 20, 4.89, 20, 6.45]) + WhiteKernel(noise_level=1.28e-06)"
424,T,nearest_transition,"3.33**2 * RBF(length_scale=[0.503, 5.06, 10, 4.68, 20, 16.1]) + WhiteKernel(noise_level=6.27e-06)"
496,Cb,recent,"1.76**2 * RBF(length_scale=[0.882, 2.1, 20, 4.13, 20, 5.97]) + WhiteKernel(noise_level=3.82e-05)"
496,T,recent,"3.91**2 * RBF(length_scale=[0.512, 3.64, 16.9, 4.14, 17.7, 15.8]) + WhiteKernel(noise_level=8.26e-07)"
496,Cb,random,"1.89**2 * RBF(length_scale=[0.532, 2.05, 20, 3.09, 20, 9.76]) + WhiteKernel(noise_level=1.38e-06)"
496,T,random,"2.35**2 * RBF(length_scale=[0.496, 2.84, 12.3, 3.25, 20, 7.18]) + WhiteKernel(noise_level=8.71e-06)"
496,Cb,nearest_initial,"3.33**2 * RBF(length_scale=[1.24, 1.86, 20, 7.16, 20, 15.8]) + WhiteKernel(noise_level=3.71e-05)"
496,T,nearest_initial,"2.42**2 * RBF(length_scale=[0.511, 2.46, 12.1, 13.9, 20, 20]) + WhiteKernel(noise_level=7.14e-07)"
496,Cb,nearest_target,"1.48**2 * RBF(length_scale=[0.557, 8.04, 20, 3.67, 20, 5.74]) + WhiteKernel(noise_level=1.84e-06)"
496,T,nearest_target,"2.43**2 * RBF(length_scale=[0.488, 11.4, 20, 3.4, 15.9, 6.15]) + WhiteKernel(noise_level=7.64e-07)"
496,Cb,nearest_transition,"1.13**2 * RBF(length_scale=[0.601, 5.47, 20, 2.56, 20, 6.69]) + WhiteKernel(noise_level=4.51e-08)"
496,T,nearest_transition,"2.46**2 * RBF(length_scale=[0.503, 2.75, 20, 7.44, 20, 8.99]) + WhiteKernel(noise_level=1.11e-08)"
569,Cb,recent,"1.79**2 * RBF(length_scale=[0.529, 1.88, 20, 3.98, 20, 9.3]) + WhiteKernel(noise_level=1.28e-06)"
569,T,recent,"2.23**2 * RBF(length_scale=[0.474, 2.6, 16, 3.17, 20, 12.2]) + WhiteKernel(noise_level=1.6e-06)"
569,Cb,random,"1.93**2 * RBF(length_scale=[0.506, 1.88, 20, 2.9, 20, 8.23]) + WhiteKernel(noise_level=2.06e-06)"
569,T,random,"2.27**2 * RBF(length_scale=[0.48, 2.89, 12.7, 2.32, 18.3, 8.03]) + WhiteKernel(noise_level=6.51e-06)"
569,Cb,nearest_initial,"1.66**2 * RBF(length_scale=[0.487, 1.82, 20, 7.12, 20, 11.2]) + WhiteKernel(noise_level=5.05e-07)"
569,T,nearest_initial,"2.02**2 * RBF(length_scale=[0.451, 2.38, 15.3, 5.77, 20, 20]) + WhiteKernel(noise_level=1.8e-06)"
569,Cb,nearest_target,"1.07**2 * RBF(length_scale=[0.473, 11.4, 20, 2.87, 20, 5.85]) + WhiteKernel(noise_level=5.18e-07)"
569,T,nearest_target,"1.31**2 * RBF(length_scale=[0.429, 13, 20, 1.88, 18.9, 7.16]) + WhiteKernel(noise_level=8.83e-06)"
569,Cb,nearest_transition,"1.36**2 * RBF(length_scale=[0.398, 6.2, 20, 12, 20, 7.56]) + WhiteKernel(noise_level=3.53e-08)"
569,T,nearest_transition,"2.66**2 * RBF(length_scale=[0.354, 8.98, 19.6, 14.8, 20, 15.1]) + WhiteKernel(noise_level=9.46e-07)"
653,Cb,recent,"1.54**2 * RBF(length_scale=[0.544, 1.43, 20, 3.91, 20, 6.65]) + WhiteKernel(noise_level=7.36e-07)"
653,T,recent,"2.47**2 * RBF(length_scale=[0.502, 2.69, 20, 3.76, 20, 12.6]) + WhiteKernel(noise_level=5.31e-08)"
653,Cb,random,"1.67**2 * RBF(length_scale=[0.532, 1.69, 20, 3, 20, 7.17]) + WhiteKernel(noise_level=2.2e-06)"
653,T,random,"2.17**2 * RBF(length_scale=[0.473, 2.53, 12.4, 3.41, 19.6, 9.58]) + WhiteKernel(noise_level=2.09e-06)"
653,Cb,nearest_initial,"2.98**2 * RBF(length_scale=[1.23, 1.73, 20, 5.89, 20, 15]) + WhiteKernel(noise_level=3.62e-05)"
653,T,nearest_initial,"1.65**2 * RBF(length_scale=[0.513, 2.65, 11.5, 4.23, 20, 20]) + WhiteKernel(noise_level=1.49e-07)"
653,Cb,nearest_target,"1.06**2 * RBF(length_scale=[0.469, 12.9, 20, 3.77, 20, 4.48]) + WhiteKernel(noise_level=1.07e-07)"
653,T,nearest_target,"1.69**2 * RBF(length_scale=[0.445, 15.3, 20, 2.07, 14.6, 7.63]) + WhiteKernel(noise_level=3.74e-06)"
653,Cb,nearest_transition,"1.96**2 * RBF(length_scale=[1.1, 5.27, 20, 10.4, 20, 9.93]) + WhiteKernel(noise_level=1.36e-05)"
