test_batch,output,history_size,learned_kernel
250,Cb,15,"1.28**2 * RBF(length_scale=[0.809, 1.34, 20, 2.39, 20, 3.85]) + WhiteKernel(noise_level=6.31e-05)"
250,T,15,"2.97**2 * RBF(length_scale=[0.472, 2.87, 14, 4.1, 15.3, 10]) + WhiteKernel(noise_level=1.25e-06)"
250,Cb,20,"1.48**2 * RBF(length_scale=[0.781, 1.68, 20, 3.29, 20, 4.95]) + WhiteKernel(noise_level=4.24e-05)"
250,T,20,"3.48**2 * RBF(length_scale=[0.48, 3, 10.9, 4.84, 12.2, 13.1]) + WhiteKernel(noise_level=1.35e-06)"
250,Cb,30,"1.88**2 * RBF(length_scale=[0.525, 2.01, 20, 3.52, 20, 8.29]) + WhiteKernel(noise_level=3.08e-06)"
250,T,30,"2.57**2 * RBF(length_scale=[0.463, 2.73, 11.1, 2.7, 15.8, 11.3]) + WhiteKernel(noise_level=2.15e-06)"
257,Cb,1,"0.81**2 * RBF(length_scale=[0.507, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=1.21e-05)"
257,T,1,"1.78**2 * RBF(length_scale=[0.723, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.00133)"
257,Cb,3,"1.11**2 * RBF(length_scale=[1.02, 20, 20, 1.59, 20, 2.1]) + WhiteKernel(noise_level=0.000232)"
257,T,3,"1.71**2 * RBF(length_scale=[1.55, 6.59, 20, 2.18, 20, 4.12]) + WhiteKernel(noise_level=0.00117)"
257,Cb,5,"1.3**2 * RBF(length_scale=[1.07, 1.16, 20, 1.45, 20, 3.51]) + WhiteKernel(noise_level=0.00019)"
257,T,5,"1.41**2 * RBF(length_scale=[0.829, 4.89, 20, 3.03, 20, 4.55]) + WhiteKernel(noise_level=0.00017)"
257,Cb,7,"1.37**2 * RBF(length_scale=[1.04, 1.17, 20, 20, 20, 3]) + WhiteKernel(noise_level=0.000168)"
257,T,7,"1.92**2 * RBF(length_scale=[0.944, 20, 20, 1.8, 16.1, 4.86]) + WhiteKernel(noise_level=0.00022)"
257,Cb,9,"1.14**2 * RBF(length_scale=[0.776, 1.01, 20, 20, 20, 3.16]) + WhiteKernel(noise_level=0.000126)"
257,T,9,"1.42**2 * RBF(length_scale=[0.805, 2.23, 11.8, 20, 20, 3.06]) + WhiteKernel(noise_level=0.000239)"
